Number of Nodes,Brushfire mean,Standard deviation of Brushfire,NNs mean,Mean distance,Mean minimun distance,Class
5.0,9.88,0.9173875952943773,2.4,6.454141285586411,1.4674640827226781,0.0
3.0,8.116666666666667,5.164677036261696,2.0,12.387063340108922,8.301816128063535,0.0
8.0,6.9375,2.602973059791438,2.5,9.468948518929054,1.9759721785813398,0.0
3.0,10.916666666666666,0.023570226039551584,1.6666666666666667,1.033879781302482,0.5336110339934546,0.0
3.0,3.2666666666666666,1.5084944665313016,2.0,3.069237915538989,0.4391931887295307,0.0
10.0,6.425000000000001,0.9271596410543336,2.6,1.8851111257118942,0.08531128874149274,0.0
1.0,7.5,0.0,1.0,7.77126115891108,7.77126115891108,0.0
8.0,6.2562500000000005,1.8063148777275793,2.0,10.872075380146635,2.7992264400731415,0.0
5.0,7.470000000000001,0.04000000000000001,1.8,2.3912037994064015,1.0413078124084185,0.0
2.0,2.75,0.0,2.5,3.150396800404673,3.0501984002023366,1.0
5.0,7.26,2.1107818456676193,1.8,12.275298517703156,4.150333240792146,0.0
14.0,3.3678571428571433,0.5569711273797716,2.2142857142857144,5.230117603994686,1.0364589614118214,0.0
19.0,5.118421052631579,2.7742808706096205,2.1578947368421053,14.428089516259883,2.6226635188989693,0.0
4.0,7.6375,2.8847389396616117,2.25,8.013569016756623,4.990620229824648,0.0
2.0,10.4,0.0,1.5,0.2,0.2,0.0
2.0,5.575,0.025,1.5,2.500499950009998,2.500499950009998,0.0
8.0,10.55625,2.496552310186991,3.0,4.883842823372998,0.5750000000000001,0.0
1.0,10.8,0.0,2.0,15.380588415272024,15.380588415272024,0.0
4.0,5.625,2.5547749411640943,1.75,6.882657777239153,3.8744990712365475,0.0
7.0,10.07857142857143,2.565270403855695,2.2857142857142856,11.208160305474255,1.6789765529057288,0.0
7.0,4.821428571428572,1.8664054724938801,2.142857142857143,5.235794312328537,2.3901244790834433,0.0
6.0,6.166666666666666,0.22110831935702668,1.8333333333333333,10.583330160622731,4.667365876071528,0.0
3.0,6.0,0.0,3.0,0.05690355937288492,0.05,0.0
3.0,11.416666666666666,0.023570226039551584,1.6666666666666667,1.2004694835126906,0.61690471333372,0.0
3.0,3.4166666666666665,0.023570226039551584,1.6666666666666667,2.4002331002314286,1.2167840317384488,1.0
3.0,12.216666666666667,0.23570226039551587,2.0,1.246060547182357,0.6400091574400433,0.0
7.0,8.87142857142857,4.002575701332576,2.2857142857142856,8.912401260872835,1.7236209535069857,0.0
4.0,5.6375,1.8375850320461364,1.75,8.764620168371373,2.525124996875156,0.0
10.0,3.5600000000000005,0.8089499366462674,2.3,8.886504746888843,1.7505803666890314,1.0
5.0,4.920000000000001,4.323493957437665,2.0,21.093379322719198,7.625250605290896,0.0
5.0,10.280000000000001,3.8653072322908564,2.2,5.3218051902417365,2.6781069059766947,0.0
8.0,6.4125000000000005,1.2994590220549476,2.5,4.2136358016229805,1.7888111764773982,0.0
1.0,6.050000000000001,0.0,1.0,4.95,4.95,0.0
2.0,4.175,0.025,1.5,0.8015609770940701,0.8015609770940701,0.0
12.0,4.820833333333335,0.03200477394945254,2.833333333333333,5.064935581193733,0.9459897271512807,1.0
4.0,8.637500000000001,1.2876213535042045,1.75,6.214448095158525,1.8001760476076734,0.0
7.0,5.5285714285714285,2.962727645606463,2.142857142857143,8.230346597869064,1.5311969121424016,0.0
3.0,7.916666666666668,0.023570226039551584,1.6666666666666667,3.1335115864523253,1.5834229364781895,0.0
3.0,7.5166666666666675,0.023570226039551584,1.6666666666666667,6.400347212803729,4.800260409602797,0.0
4.0,4.9750000000000005,0.6786935980249114,2.75,7.826239929771304,3.5663099977187773,0.0
12.0,6.8500000000000005,2.3268361924868426,2.333333333333333,10.145400211186942,2.29510802982874,1.0
23.0,13.493478260869566,4.1909401339137675,2.5217391304347827,17.61798242379372,2.864513588773109,0.0
3.0,9.0,0.07071067811865477,1.6666666666666667,0.290209582382488,0.16350416126511091,0.0
